"ORDRE","NOM","GENERE","ANY","FREQ‹»NCIA"
10,"CLAUDIA","Dona",2002,124
11,"ANDREA","Dona",2002,117
12,"SARA","Dona",2002,105
13,"LUCIA","Dona",2002,100
14,"MARINA","Dona",2002,98
15,"MIREIA","Dona",2002,96
16,"ARIADNA","Dona",2002,92
17,"CLARA","Dona",2002,81
18,"AINA","Dona",2002,80
19,"NURIA","Dona",2002,71
20,"CARLOTA","Dona",2002,70
21,"MARTINA","Dona",2002,65
22,"BERTA","Dona",2002,63
23,"MAR","Dona",2002,63
24,"CRISTINA","Dona",2002,62
25,"NEREA","Dona",2002,62
1,"MARIA","Dona",2003,196
2,"PAULA","Dona",2003,192
3,"CARLA","Dona",2003,165
4,"LAIA","Dona",2003,158
5,"LAURA","Dona",2003,148
6,"ALBA","Dona",2003,135
7,"ANNA","Dona",2003,135
8,"MARTA","Dona",2003,131
9,"JULIA","Dona",2003,128
10,"ANDREA","Dona",2003,126
11,"CLAUDIA","Dona",2003,121
12,"LUCIA","Dona",2003,119
13,"SARA","Dona",2003,107
14,"ARIADNA","Dona",2003,96
15,"MARINA","Dona",2003,84
16,"CRISTINA","Dona",2003,75
17,"BERTA","Dona",2003,72
18,"CLARA","Dona",2003,71
19,"MIREIA","Dona",2003,71
20,"MARTINA","Dona",2003,67
21,"NURIA","Dona",2003,66
22,"MAR","Dona",2003,65
23,"AINHOA","Dona",2003,64
24,"NEREA","Dona",2003,60
25,"ANA","Dona",2003,59
1,"MARIA","Dona",2004,200
2,"PAULA","Dona",2004,190
3,"LAIA","Dona",2004,184
4,"JULIA","Dona",2004,171
5,"LUCIA","Dona",2004,171
6,"CARLA","Dona",2004,164
7,"LAURA","Dona",2004,146
8,"CLAUDIA","Dona",2004,127
9,"ALBA","Dona",2004,122
10,"ANNA","Dona",2004,111
11,"MARTA","Dona",2004,110
12,"ANDREA","Dona",2004,106
13,"MARTINA","Dona",2004,105
14,"SARA","Dona",2004,84
15,"MARINA","Dona",2004,81
16,"ARIADNA","Dona",2004,77
17,"BERTA","Dona",2004,76
18,"AINA","Dona",2004,73
19,"MIREIA","Dona",2004,68
20,"NEREA","Dona",2004,62
21,"CLARA","Dona",2004,61
22,"CRISTINA","Dona",2004,58
23,"NURIA","Dona",2004,56
24,"JUDITH","Dona",2004,55
25,"MAR","Dona",2004,55
1,"LAIA","Dona",2005,200
2,"MARIA","Dona",2005,183
3,"JULIA","Dona",2005,182
4,"CARLA","Dona",2005,171
5,"LUCIA","Dona",2005,165
6,"PAULA","Dona",2005,157
7,"MARTINA","Dona",2005,144
8,"LAURA","Dona",2005,124
9,"MARTA","Dona",2005,122
10,"ALBA","Dona",2005,117
11,"CLAUDIA","Dona",2005,112
12,"ARIADNA","Dona",2005,99
13,"SOFIA","Dona",2005,90
14,"ANNA","Dona",2005,87
15,"BERTA","Dona",2005,77
16,"SARA","Dona",2005,77
17,"MARINA","Dona",2005,76
18,"AINA","Dona",2005,73
19,"CLARA","Dona",2005,69
20,"ANDREA","Dona",2005,68
21,"NOA","Dona",2005,66
22,"MIREIA","Dona",2005,60
23,"MAR","Dona",2005,59
24,"NATALIA","Dona",2005,59
25,"EMMA","Dona",2005,57
1,"MARIA","Dona",2006,196
2,"LAIA","Dona",2006,180
3,"LUCIA","Dona",2006,170
4,"JULIA","Dona",2006,160
5,"CARLA","Dona",2006,145
6,"MARTINA","Dona",2006,129
7,"CLAUDIA","Dona",2006,126
8,"PAULA","Dona",2006,122
9,"LAURA","Dona",2006,111
10,"ALBA","Dona",2006,101
11,"SARA","Dona",2006,97
12,"MARTA","Dona",2006,89
13,"ANNA","Dona",2006,86
14,"AINA","Dona",2006,82
15,"ARIADNA","Dona",2006,76
16,"BERTA","Dona",2006,68
17,"ANDREA","Dona",2006,66
18,"CLARA","Dona",2006,66
19,"IRENE","Dona",2006,65
20,"MARINA","Dona",2006,61
21,"EMMA","Dona",2006,58
22,"SOFIA","Dona",2006,58
23,"JANA","Dona",2006,56
24,"MIREIA","Dona",2006,56
25,"CARLOTA","Dona",2006,55
1,"LUCIA","Dona",2007,159
2,"MARIA","Dona",2007,155
3,"MARTINA","Dona",2007,152
4,"LAIA","Dona",2007,138
5,"JULIA","Dona",2007,130
6,"CARLA","Dona",2007,125
7,"PAULA","Dona",2007,124
8,"CLAUDIA","Dona",2007,114
9,"SARA","Dona",2007,100
10,"JANA","Dona",2007,93
11,"AINA","Dona",2007,90
12,"ARIADNA","Dona",2007,88
13,"ALBA","Dona",2007,87
14,"SOFIA","Dona",2007,87
15,"LAURA","Dona",2007,84
16,"BERTA","Dona",2007,80
17,"MAR","Dona",2007,76
18,"IRENE","Dona",2007,75
19,"NOA","Dona",2007,73
20,"MARTA","Dona",2007,72
21,"ANNA","Dona",2007,63
22,"ANDREA","Dona",2007,60
23,"EMMA","Dona",2007,60
24,"MARINA","Dona",2007,57
25,"CARLOTA","Dona",2007,56
1,"MARTINA","Dona",2008,169
2,"JULIA","Dona",2008,162
3,"MARIA","Dona",2008,158
4,"LAIA","Dona",2008,156
