"ORDRE","NOM","GENERE","ANY","FREQ‹»NCIA"
14,"JAN","Home",2007,88
15,"ORIOL","Home",2007,84
16,"GERARD","Home",2007,76
17,"BIEL","Home",2007,75
18,"GUILLEM","Home",2007,71
19,"JOEL","Home",2007,70
20,"ROGER","Home",2007,68
21,"HUGO","Home",2007,67
22,"ADRIA","Home",2007,60
23,"NICOLAS","Home",2007,58
24,"IKER","Home",2007,54
25,"JORDI","Home",2007,54
1,"MARC","Home",2008,244
2,"POL","Home",2008,172
3,"ALEX","Home",2008,156
4,"PAU","Home",2008,144
5,"DANIEL","Home",2008,121
6,"DAVID","Home",2008,109
7,"JAN","Home",2008,106
8,"ERIC","Home",2008,100
9,"ARNAU","Home",2008,98
10,"MARTI","Home",2008,98
11,"BIEL","Home",2008,92
12,"VICTOR","Home",2008,88
13,"ALEJANDRO","Home",2008,87
14,"PABLO","Home",2008,86
15,"ORIOL","Home",2008,84
16,"BRUNO","Home",2008,80
17,"HUGO","Home",2008,80
18,"JOAN","Home",2008,80
19,"IKER","Home",2008,77
20,"LUCAS","Home",2008,73
21,"NICOLAS","Home",2008,73
22,"ADRIA","Home",2008,72
23,"GUILLEM","Home",2008,71
24,"JORDI","Home",2008,71
25,"ROGER","Home",2008,70
1,"MARC","Home",2009,194
2,"PAU","Home",2009,165
3,"ALEX","Home",2009,150
4,"POL","Home",2009,146
5,"ERIC","Home",2009,130
6,"MARTI","Home",2009,116
7,"ARNAU","Home",2009,106
8,"JAN","Home",2009,100
9,"DANIEL","Home",2009,98
10,"HUGO","Home",2009,89
11,"DAVID","Home",2009,87
12,"PABLO","Home",2009,87
13,"BIEL","Home",2009,86
14,"ADRIA","Home",2009,83
15,"VICTOR","Home",2009,74
16,"ORIOL","Home",2009,71
17,"GUILLEM","Home",2009,70
18,"ROGER","Home",2009,69
19,"ALEJANDRO","Home",2009,68
20,"GERARD","Home",2009,67
21,"LUCAS","Home",2009,65
22,"BRUNO","Home",2009,63
23,"NICOLAS","Home",2009,62
24,"MAX","Home",2009,61
25,"JOAN","Home",2009,59
1,"MARC","Home",2010,195
2,"POL","Home",2010,148
3,"ALEX","Home",2010,143
4,"PAU","Home",2010,134
5,"MARTI","Home",2010,124
6,"ERIC","Home",2010,117
7,"ARNAU","Home",2010,110
8,"DANIEL","Home",2010,103
9,"GERARD","Home",2010,100
10,"JAN","Home",2010,98
11,"DAVID","Home",2010,90
12,"BIEL","Home",2010,88
13,"ALEJANDRO","Home",2010,80
14,"HUGO","Home",2010,79
15,"PABLO","Home",2010,78
16,"VICTOR","Home",2010,77
17,"ADRIA","Home",2010,69
18,"NIL","Home",2010,69
19,"BRUNO","Home",2010,68
20,"GUILLEM","Home",2010,66
21,"LUCAS","Home",2010,65
22,"NICOLAS","Home",2010,64
23,"MAX","Home",2010,60
24,"ORIOL","Home",2010,59
25,"IKER","Home",2010,56
1,"MARC","Home",2011,209
2,"ALEX","Home",2011,142
3,"POL","Home",2011,124
4,"PAU","Home",2011,118
5,"ERIC","Home",2011,113
6,"MARTI","Home",2011,103
7,"GERARD","Home",2011,99
8,"ARNAU","Home",2011,95
9,"BIEL","Home",2011,87
10,"DAVID","Home",2011,85
11,"DANIEL","Home",2011,83
12,"HUGO","Home",2011,79
13,"NICOLAS","Home",2011,78
14,"BRUNO","Home",2011,75
15,"JAN","Home",2011,73
16,"LUCAS","Home",2011,70
17,"PABLO","Home",2011,68
18,"ADRIA","Home",2011,67
19,"VICTOR","Home",2011,65
20,"ALEJANDRO","Home",2011,64
21,"NIL","Home",2011,62
22,"ALEIX","Home",2011,61
23,"ORIOL","Home",2011,60
24,"GUILLEM","Home",2011,58
25,"LEO","Home",2011,58
1,"MARC","Home",2012,206
2,"POL","Home",2012,138
3,"ERIC","Home",2012,125
4,"ALEX","Home",2012,120
5,"PAU","Home",2012,110
6,"ARNAU","Home",2012,101
7,"MARTI","Home",2012,99
8,"GERARD","Home",2012,98
9,"JAN","Home",2012,98
10,"BIEL","Home",2012,95
11,"HUGO","Home",2012,88
12,"DANIEL","Home",2012,81
13,"NICOLAS","Home",2012,73
14,"NIL","Home",2012,72
15,"LEO","Home",2012,71
16,"VICTOR","Home",2012,68
17,"PABLO","Home",2012,66
18,"BRUNO","Home",2012,65
19,"ALEIX","Home",2012,64
20,"LUCAS","Home",2012,62
21,"ORIOL","Home",2012,60
22,"DAVID","Home",2012,59
23,"GUILLEM","Home",2012,58
24,"JOEL","Home",2012,58
25,"ADRIA","Home",2012,56
1,"MARC","Home",2013,175
2,"PAU","Home",2013,129
3,"POL","Home",2013,126
4,"ALEX","Home",2013,122
5,"ERIC","Home",2013,122
6,"ARNAU","Home",2013,100
7,"BIEL","Home",2013,95
8,"MARTI","Home",2013,95
9,"JAN","Home",2013,92
10,"HUGO","Home",2013,89
11,"GERARD","Home",2013,86
12,"DAVID","Home",2013,80
13,"LUCAS","Home",2013,77
14,"LEO","Home",2013,76
15,"DANIEL","Home",2013,75
16,"NIL","Home",2013,73
17,"BRUNO","Home",2013,72
18,"VICTOR","Home",2013,64
19,"NICOLAS","Home",2013,62
20,"MAX","Home",2013,59
21,"PABLO","Home",2013,56
22,"ALEIX","Home",2013,53
23,"MATEO","Home",2013,52
24,"JOEL","Home",2013,51
25,"MARIO","Home",2013,46
1,"MARC","Home",2014,192
2,"POL","Home",2014,137
3,"ALEX","Home",2014,135
4,"ERIC","Home",2014,123
5,"MARTI","Home",2014,116
6,"PAU","Home",2014,104
7,"BIEL","Home",2014,90
8,"DANIEL","Home",2014,89
9,"JAN","Home",2014,89
10,"HUGO","Home",2014,82
11,"LEO","Home",2014,78
12,"NIL","Home",2014,77
13,"ARNAU","Home",2014,73
14,"LUCAS","Home",2014,73
15,"GERARD","Home",2014,71
16,"ADRIA","Home",2014,68
17,"ALEIX","Home",2014,63
18,"NICOLAS","Home",2014,62
19,"BRUNO","Home",2014,61
20,"PABLO","Home",2014,61
21,"DAVID","Home",2014,57
22,"MAX","Home",2014,57
23,"MATEO","Home",2014,52
24,"VICTOR","Home",2014,52
25,"GUILLEM","Home",2014,47
1,"MARC","Home",2015,172
2,"MARTI","Home",2015,133
3,"ALEX","Home",2015,110
4,"ERIC","Home",2015,109
5,"PAU","Home",2015,108
6,"HUGO","Home",2015,107
7,"BIEL","Home",2015,99
8,"ARNAU","Home",2015,93
9,"JAN","Home",2015,88
10,"NIL","Home",2015,88
11,"POL","Home",2015,88
12,"DANIEL","Home",2015,83
13,"LEO","Home",2015,80
14,"BRUNO","Home",2015,79
15,"LUCAS","Home",2015,79
16,"MAX","Home",2015,79
17,"PABLO","Home",2015,67
18,"MATEO","Home",2015,65
19,"GERARD","Home",2015,64
20,"ALEIX","Home",2015,63
21,"DAVID","Home",2015,60
22,"ADRIA","Home",2015,57
23,"ROC","Home",2015,57
24,"ROGER","Home",2015,53
25,"ALEJANDRO","Home",2015,50
1,"MARC","Home",2016,148
2,"ALEX","Home",2016,140
3,"POL","Home",2016,110
4,"ERIC","Home",2016,109
5,"PAU","Home",2016,107
6,"MARTI","Home",2016,104
7,"BIEL","Home",2016,99
8,"BRUNO","Home",2016,93
9,"LUCAS","Home",2016,93
10,"JAN","Home",2016,91
11,"NIL","Home",2016,88
12,"LEO","Home",2016,83
13,"ARNAU","Home",2016,76
14,"MAX","Home",2016,75
15,"MATEO","Home",2016,69
16,"DANIEL","Home",2016,68
17,"HUGO","Home",2016,66
18,"ALEIX","Home",2016,64
19,"GAEL","Home",2016,64
20,"PABLO","Home",2016,59
21,"GERARD","Home",2016,57
22,"ADRIA","Home",2016,51
23,"ROC","Home",2016,48
24,"GABRIEL","Home",2016,44
25,"ROGER","Home",2016,44
